number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
68,,2025-11-13T13:00:00-05:00,2025-11-13T14:00:00-05:00,True,53,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 43}",15 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
69,,2025-11-13T14:00:00-05:00,2025-11-13T15:00:00-05:00,True,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 41}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
70,,2025-11-13T15:00:00-05:00,2025-11-13T16:00:00-05:00,True,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 40}",14 mph,NW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
71,,2025-11-13T16:00:00-05:00,2025-11-13T17:00:00-05:00,True,53,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 41}",13 mph,NW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
72,,2025-11-13T17:00:00-05:00,2025-11-13T18:00:00-05:00,True,51,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 44}",10 mph,NW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
73,,2025-11-13T18:00:00-05:00,2025-11-13T19:00:00-05:00,False,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 50}",8 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
74,,2025-11-13T19:00:00-05:00,2025-11-13T20:00:00-05:00,False,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 53}",6 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
75,,2025-11-13T20:00:00-05:00,2025-11-13T21:00:00-05:00,False,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 60}",6 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
76,,2025-11-13T21:00:00-05:00,2025-11-13T22:00:00-05:00,False,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 62}",5 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
77,,2025-11-13T22:00:00-05:00,2025-11-13T23:00:00-05:00,False,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 67}",5 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
78,,2025-11-13T23:00:00-05:00,2025-11-14T00:00:00-05:00,False,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 70}",5 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
